"","name","wilcoxP","cdEst","cdMag"
"1","4Dnest",0.539105541654213,0.0192964181926403,"negligible"
"2","accumulo",0.602294089714297,0.0163728510906481,"negligible"
"3","ace",0.859947269186587,0.00554514897937748,"negligible"
"4","activemq-cpp",0.36175836756539,0.0286535835579987,"negligible"
"5","Activiti",0.479424828479345,0.0222199852946325,"negligible"
"6","adempiere",0.133597717135651,0.0471272014285214,"negligible"
"7","adobe-flex-pmd",0.423099231017359,0.0251676236826442,"negligible"
"8","aio-portal",0.000262139561287476,-0.11467122999895,"negligible"
"9","ajaxplorer",0.495319391024179,0.0214234445572634,"negligible"
"10","ajaxplorer-core",0.32859884491383,-0.0306930779734603,"negligible"
"11","AKeyboard",0.192930132628533,0.0409036798431427,"negligible"
"12","akvo-flow",0.759495995398766,0.00961976121284269,"negligible"
"13","Alitheia-Core",0.906234006178872,0.00370260144952908,"negligible"
"14","ambari",0.895425001383786,-0.00413150800042015,"negligible"
"15","amcat",0.786256541734623,-0.00852123525086656,"negligible"
"16","amuse",0.0290268726086736,0.0685856587654494,"negligible"
"17","andors-trail",0.00775944180197844,0.0836411540212177,"negligible"
"18","android",0.0814991735482866,0.0547293512131928,"negligible"
"19","android-arabic-reader",0.542332132576914,0.0191432372816078,"negligible"
"20","android_dalvik",0.551045213045127,0.018731837120549,"negligible"
"21","android_packages_apps_Calendar",0.0143280235277015,0.0769362067154511,"negligible"
"22","android_packages_apps_Contacts",0.920267181659605,0.00314677357235391,"negligible"
"23","android_packages_apps_DeskClock",0.387918104036392,0.0271261510451315,"negligible"
"24","android_packages_apps_Dialer",0.854587992804793,0.00575960225482301,"negligible"
"25","android_packages_apps_Phone",0.730085850757628,0.0108408319036448,"negligible"
"26","android_packages_apps_Settings",0.166609711577506,0.0434552361611988,"negligible"
"27","android_packages_apps_Trebuchet",0.691488274172758,0.0124689261580477,"negligible"
"28","AndroidTD",0.0489375971609955,0.0618632050698505,"negligible"
"29","anjuta",0.961499205770844,0.00151867931795106,"negligible"
"30","anki",0.163135392619155,0.0438141171527608,"negligible"
"31","ANNIS",0.70385746659651,0.011943734463079,"negligible"
"32","AntiCheat",0.426210845352014,0.0249991246805084,"negligible"
"33","apache-hosted-cassandra",0.00980378617313843,0.0811377402752004,"negligible"
"34","apache-tomcat-8",0.881886261054259,-0.00466982948776303,"negligible"
"35","App-Inventor-Gallery",0.88859653510343,0.00440285704282063,"negligible"
"36","application",0.400286990209896,-0.0264258954518399,"negligible"
"37","archiva",0.651968394173967,0.0141714225692378,"negligible"
"38","ardupilot-mega",0.0584042288413468,0.0594604530653689,"negligible"
"39","ares-project",0.75515104163302,-0.00979920170862364,"negligible"
"40","aries",0.863669760988449,0.00539634466580302,"negligible"
"41","arquillian-graphene",0.769326367695616,-0.00921492594797101,"negligible"
"42","astridclone",0.0638500264429861,0.0582218759847344,"negligible"
"43","atlas",0.703185421760183,0.0119721823465565,"negligible"
"44","atmosphere",0.703650659011096,0.0119524876579952,"negligible"
"45","aura",0.0046920484975725,0.0888274220090333,"negligible"
"46","Auto-B-Day",0.52665994359116,-0.0198916354469381,"negligible"
"47","autopsy",0.652771847090877,0.0141364097895732,"negligible"
"48","autotest",0.909877787345697,-0.00355817373341269,"negligible"
"49","avian",0.868601232033794,0.00519939778018977,"negligible"
"50","babble",0.0278578901225822,-0.0690933440705858,"negligible"
"51","bagit-java",0.104096994591575,0.0510617625433283,"negligible"
"52","bandwidth-on-demand",0.862355590332612,0.00544886383529989,"negligible"
"53","barry",0.968717447712268,0.00123420048317636,"negligible"
"54","basex-all",0.885075364547328,-0.00454290816147894,"negligible"
"55","BatooJPA",0.849508341385844,0.00596311403662337,"negligible"
"56","beagle",0.00111678564102714,-0.102394874129057,"negligible"
"57","big-data-plugin",0.683185126829225,-0.0128234305521515,"negligible"
"58","bigbluebutton",0.903805909969356,0.00379888659360667,"negligible"
"59","biojava",0.978716043981628,-0.000840306711949865,"negligible"
"60","biosources-test-subtree",0.0890560742657689,0.0534207485732292,"negligible"
"61","bison",0.608324305462871,-0.0161015020482476,"negligible"
"62","bitrig-xenocara",0.973160754750004,0.00105913658485347,"negligible"
"63","blacktie",0.258222029837359,0.0355204649697139,"negligible"
"64","bloatit",0.513913498313384,0.0205087356885263,"negligible"
"65","blojsom-sourceforge",0.0605305646345751,0.0589658975526067,"negligible"
"66","blueprints-seas",0.975493833194541,-0.000967228038233955,"negligible"
"67","boost",0.603847695004217,0.0163028255313189,"negligible"
"68","bsc-project",0.814893899459361,0.00735706032701936,"negligible"
"69","bw-classic",0.628352662536801,-0.0152086761668009,"negligible"
"70","caadapter",3.24237547116853e-05,0.130556090473023,"negligible"
"71","cacique",0.00862532629487948,0.0825163684744932,"negligible"
"72","cadmium",0.617125355956024,0.0157076082770211,"negligible"
"73","cadpage",0.589642282159799,0.0169461853576555,"negligible"
"74","caleydo",0.993163954538748,-0.000271349042400476,"negligible"
"75","camlistore",0.512118577683772,-0.0205962676376878,"negligible"
"76","camod",0.397794429230291,-0.0265659465704982,"negligible"
"77","camunda-bpm-platform",0.038543915088012,0.0650012254472883,"negligible"
"78","candlepin",0.700757660470482,0.0120750323868212,"negligible"
"79","capdemat",0.849235416963304,-0.00597405553026855,"negligible"
"80","carat",0.000276575112197056,0.1142379468506,"negligible"
"81","carrot2",0.00687946007749259,-0.0849059906866006,"negligible"
"82","cartoweb3",0.192739695603017,0.040921186232975,"negligible"
"83","caTissue",0.998499387351558,6.12723644130077e-05,"negligible"
"84","catissue-core",0.54214749687946,0.0191519904765239,"negligible"
"85","catissue-dynamic-extensions",0.668924463274783,0.0134361541962816,"negligible"
"86","cda",0.647656772383616,-0.0143596162599349,"negligible"
"87","cdt-core",0.566786983546154,-0.0179965687475929,"negligible"
"88","cedet",0.914794360221535,0.00336341514652848,"negligible"
"89","cegis",0.418637143546587,0.0254105248415672,"negligible"
"90","cesium2",0.271655636959433,0.0345357305416477,"negligible"
"91","ceylon",0.815759225170706,0.00732204754735478,"negligible"
"92","cgeo",0.167894607023401,0.0433239382374567,"negligible"
"93","ChatHammer-9000",0.677364989109233,0.0130728966072617,"negligible"
"94","check_mk",0.4490719792991,0.0237824305871643,"negligible"
"95","chico",0.0595630768209949,0.0591891040229684,"negligible"
"96","chipster",0.317683151115392,0.0313933335667519,"negligible"
"97","chisimba",0.62677162360926,0.01527870172613,"negligible"
"98","chukwa",0.780690582421287,-0.00874881831868632,"negligible"
"99","Chunky",0.00622852593160766,0.0859388676867057,"negligible"
"100","cinder_base",0.145111863097698,0.0457748328139771,"negligible"
"101","Citizens",0.688306076051108,0.0126046006792479,"negligible"
"102","ClassyGames",0.968717447712268,0.00123420048317636,"negligible"
"103","clever",0.803827242959356,0.00780566156647176,"negligible"
"104","clocc",0.134719941510929,0.0469915269073212,"negligible"
"105","cloud-odata-java",2.4281167199919e-75,-0.576997479079864,"large"
"106","Cloudify-iTests",0.809166866794738,-0.00758901999229719,"negligible"
"107","cloudify-widget",0.0346683975515766,0.0663579706592906,"negligible"
"108","cloudreader",7.99877667228423e-52,-0.475832428836525,"large"
"109","cmu-sphinx4",0.609396986107664,0.0160533594762088,"negligible"
"110","coastal-hazards",0.951454574114816,-0.00191476138790659,"negligible"
"111","cobbler",0.926463198669709,0.00290168411470187,"negligible"
"112","cocos2dx-js-callbacks",0.922479509033151,0.00305924162319246,"negligible"
"113","Colloquy",0.336452856262943,0.0301985224606982,"negligible"
"114","com",0.980827339059605,0.000757151360246488,"negligible"
"115","commons-lang",0.997943605953474,-8.31553517033692e-05,"negligible"
"116","commons-math-optimizers",0.592239866195672,0.0168280172262876,"negligible"
"117","commons-vfs",0.511759986360851,0.02061377402752,"negligible"
"118","commonsense-frontend",0.00150177094161567,0.0997251496796331,"negligible"
"119","console",0.0167081575715123,0.0751811911347642,"negligible"
"120","Contiki-IDS",0.292210783648737,0.0330914533804839,"negligible"
"121","continuum",0.00111076769517345,-0.102443016701096,"negligible"
"122","core",0.147861899303696,0.045464094394454,"negligible"
"123","core-geonetwork",0.472613160033274,0.0225657364938202,"negligible"
"124","corsix-th",0.795378188358577,0.00814922446693043,"negligible"
"125","cosmo",0.0846177256163455,-0.0541778999334757,"negligible"
"126","coweb",0.890357949522467,-0.00433283148349147,"negligible"
"127","cpu-bitminer",0.493647016296534,0.0215065999089668,"negligible"
"128","crtmpserver",0.117162414528983,-0.049223591610938,"negligible"
"129","crtmpserver-os_x",0.0240629942390414,-0.0708789958334792,"negligible"
"130","crtools",0.787113821393146,0.00848622247120199,"negligible"
"131","cruisecontrol",0.42394653184692,0.0251216694093344,"negligible"
"132","crux-framework",0.0711365138702938,0.0566944434718672,"negligible"
"133","CS143-Project",0.421930781678435,0.0252310843457862,"negligible"
"134","csft5",0.00458696905554452,-0.089055005076853,"negligible"
"135","csipsimple",0.249927548703428,0.0361463184062183,"negligible"
"136","csolve",0.0930273269759692,0.0527686355519765,"negligible"
"137","ctags",0.842908704683343,0.00622789818283673,"negligible"
"138","CVC4",0.593588825594589,0.0167667448618746,"negligible"
"139","cyberdojo",0.874964871709176,0.00494555512762158,"negligible"
"140","cytoscape-impl",0.682264893835177,0.0128628199292742,"negligible"
"141","cytoscape2",0.854369387519176,0.00576835544973916,"negligible"
"142","dANN",0.935765475403036,-0.0025340499282238,"negligible"
"143","dasher",0.96294262059739,-0.00146178355099611,"negligible"
"144","databus",0.827245614850357,-0.00685812821679913,"negligible"
"145","datahappi",1.82115523284848e-09,0.188902699485312,"small"
"146","DBS",0.291445488338856,0.0331439725499807,"negligible"
"147","dcache",0.971772125292364,-0.00111384405307937,"negligible"
"148","ddb-next",0.21452491474519,-0.0389954833514233,"negligible"
"149","ddd",0.488910500237575,0.0217429361717027,"negligible"
"150","deegree3",0.521397245703244,0.0201454780995063,"negligible"
"151","delving",0.4530046056436,0.0235767305066349,"negligible"
"152","Demigods",0.455020229975392,0.0234716921676412,"negligible"
"153","Denizen",0.988051116682046,0.000472672525471796,"negligible"
"154","derby",0.458982090644148,0.0232659920871118,"negligible"
"155","development",0.783525696249206,0.00863283848604741,"negligible"
"156","dimple",0.460081327210565,0.0232090963201569,"negligible"
"157","directory-shared",0.896416886955703,0.0040921186232975,"negligible"
"158","directory-studio",0.601033113161881,0.016429746857603,"negligible"
"159","DMDirc",0.811002742154999,-0.00751461783550996,"negligible"
"160","dnd",0.00163447984257047,0.0989504919295543,"negligible"
"161","Docear",0.481678304996547,-0.0221061937607227,"negligible"
"162","dojox",0.102094936306376,-0.0513593711704772,"negligible"
"163","dojox-oldmirror",0.519859875489904,-0.0202198802562935,"negligible"
"164","domjudge",0.0835676541379108,0.0543617170267148,"negligible"
"165","dotCMS",4.05828392662205e-14,-0.237474178074997,"small"
"166","dresdenocl",0.751818091112924,-0.00993706452855292,"negligible"
"167","drools",0.681038651282486,0.0129153390987711,"negligible"
"168","druid",0.973882874374936,0.001030688701376,"negligible"
"169","DSpace",0.832024576559368,0.00666555792864396,"negligible"
"170","DSpace-SVN-Deprecated",0.445823493898632,0.0239531178880291,"negligible"
"171","ecologylabFundamental",0.890908502944849,-0.00431094849620111,"negligible"
"172","elasticsearch",0.625784343676626,0.0153224677007108,"negligible"
"173","Electric-Expansion",0.782723012281578,0.00866566296698295,"negligible"
"174","EMS",0.985606006438184,0.000568957669549386,"negligible"
"175","emul",0.870575263846951,0.00512061902594447,"negligible"
"176","encog-java-core",0.79806641829471,-0.00803980953047862,"negligible"
"177","encuestame",0.94313606503029,-0.002243006197262,"negligible"
"178","EnderIO",0.973271848674397,0.0010547599873954,"negligible"
"179","enkive",0.833220294774175,-0.00661741535660516,"negligible"
"180","errai",0.69231037467107,0.0124339133783831,"negligible"
"181","escidoc-core",0.321884452059952,0.0311219845243514,"negligible"
"182","Essentials",0.00959209840413629,-0.0813740765379364,"negligible"
"183","etoile",0.00436402346939664,0.0895539371870733,"negligible"
"184","Etoile",0.0344064802549582,-0.0664542558033682,"negligible"
"185","evolution-data-server",NA,NA,NA
"186","experiment",0.630034386390463,-0.0151342740100137,"negligible"
"187","exponent-cms",0.196092329132476,0.04061482441091,"negligible"
"188","faaa_project",0.21788804093313,0.0387110045166486,"negligible"
"189","fbc",0.759283868965405,0.00962851440775883,"negligible"
"190","fcrepo",0.309057441806691,0.0319579146388432,"negligible"
"191","fcrepo-before33",0.351510740826545,-0.0292706837995869,"negligible"
"192","fcrepo-historical",0.145959765744572,-0.0456785476698995,"negligible"
"193","featurehouse",0.0437475372815176,0.063351248205595,"negligible"
"194","felix",0.999388638990782,2.62595847484358e-05,"negligible"
"195","FermaNext",0.226434511115443,0.0380019957284409,"negligible"
"196","fitnesse",0.880127571630483,-0.00473985504709219,"negligible"
"197","fixmystreet",0.664365620593572,0.0136331010818949,"negligible"
"198","flamingo",0.400443086332563,0.0264171422569238,"negligible"
"199","fop",0.492504503865417,0.0215634956759217,"negligible"
"200","fossology",0.0243876061426263,0.0707170617275305,"negligible"
"201","FProj_Gruppe48",0.0743127347253494,0.0560685900353629,"negligible"
"202","framework",0.64036410059194,0.0146791078743741,"negligible"
"203","FrameworkBenchmarks",0.770125076511444,0.00918210146703547,"negligible"
"204","frameworks_av",0.927127328946442,0.00287542452995343,"negligible"
"205","freeplane",0.859947269186587,0.00554514897937747,"negligible"
"206","FreeRDP",0.944743854955127,-0.00217954553411995,"negligible"
"207","fritzing",0.0875993014787835,0.0536658380308813,"negligible"
"208","Frost",0.672682019378269,0.013274220090333,"negligible"
"209","frostwire-desktop",0.0497590003991919,0.0616399985994888,"negligible"
"210","functional-tests",0.879687991298924,-0.00475736143692448,"negligible"
"211","fuse",0.413287546295162,0.025703756871258,"negligible"
"212","g3m",1.01093218179426e-47,-0.455914533804839,"medium"
"213","galleria",0.298899864278983,-0.0326362872448444,"negligible"
"214","gatein-portal",0.142401175283048,0.0460855712335002,"negligible"
"215","geany",0.00241181580850672,0.0953222926368124,"negligible"
"216","genomix",0.950844359323988,0.00193883267392599,"negligible"
"217","geo-platform",0.98527259243574,0.000582087461923601,"negligible"
"218","geogebra",0.837136240067547,0.00645985784811456,"negligible"
"219","geoknow",0.919658898969867,0.0031708448583733,"negligible"
"220","geoserver-old",0.944743854955127,-0.00217954553411996,"negligible"
"221","geotools",0.807224143153261,0.00766779874654249,"negligible"
"222","gephi",0.737219303264479,-0.0105432232764959,"negligible"
"223","gerrit",0.91341296296433,0.00341812261475439,"negligible"
"224","gettext",0.92513509228017,0.00295420328419873,"negligible"
"225","gforth",0.0283466385367246,0.0688788907951402,"negligible"
"226","giraph",0.991163234279163,0.000350127796645779,"negligible"
"227","gitblit",0.827571252133937,0.00684499842442491,"negligible"
"228","glusterfs",0.967606767279294,-0.00127796645775708,"negligible"
"229","gnorasi",0.0263405242214513,0.0697804698715031,"negligible"
"230","google-closure-compiler",0.798389167534007,-0.00802667973810441,"negligible"
"231","gradecraft-development",0.388454322520163,0.027095514862925,"negligible"
"232","grails",0.101366636152462,0.051468786106929,"negligible"
"233","grailsnolib",0.0934348709685686,0.0527029865901054,"negligible"
"234","GridSphere",0.658306452382226,0.0138956969293792,"negligible"
"235","gridworks",0.963497812870414,0.00143990056370575,"negligible"
"236","grizzly-mirror",0.385091306460765,-0.0272880851510801,"negligible"
"237","groovy",0.330880107384268,0.0305486502573439,"negligible"
"238","gSDL",0.743637770753038,0.0102762508315535,"negligible"
"239","guicey",0.181975012910957,0.0419321802457897,"negligible"
"240","gwt",0.634296710265294,0.0149460803193166,"negligible"
"241","gwtquery",0.0037897054436852,0.0909544483736564,"negligible"
"242","h-store",0.00243980851549636,0.0952128777003606,"negligible"
"243","h2-bitmap",0.00355758902501464,-0.0915759252127026,"negligible"
"244","hadoop",0.00888292089610419,0.082201253457512,"negligible"
"245","hadoop-1",0.884965364158625,-0.00454728475893701,"negligible"
"246","hadoop-fork",0.36861886423601,-0.028246559994398,"negligible"
"247","haxe",0.00222085278592756,-0.0961013269843493,"negligible"
"248","hbase_namespace",0.415757683812331,0.0255680823500578,"negligible"
"249","hbird",0.41879745692783,0.025401771646651,"negligible"
"250","hermes",0.28637796950295,0.0334941003466265,"negligible"
"251","hibernate-orm",0.99738782554683,0.000105038338993733,"negligible"
"252","highcharts",0.0812800364092639,0.0547687405903155,"negligible"
"253","hive",0.775882929142449,-0.00894576520429957,"negligible"
"254","hk2",0.877161128006442,0.00485802317846014,"negligible"
"255","HoloEverywhere",5.6206208042163e-05,-0.126549315500158,"negligible"
"256","hornetq-old",0.69663233205977,0.0122500962851441,"negligible"
"257","hostap-ct",0.359124316413061,0.0288111410664893,"negligible"
"258","htmlparser",0.6407628092526,0.0146616014845419,"negligible"
"259","hue",0.102533911552922,0.0512937222086061,"negligible"
"260","HUSACCT",0.975716042332445,0.000958474843317811,"negligible"
"261","hxcpp",0.956115309238616,0.00173094429466756,"negligible"
"262","i2p",0.344284444501709,0.0297127201428521,"negligible"
"263","iaf",0.140778495581913,0.0462737649241973,"negligible"
"264","ibis-ipl",0.270684838583446,0.0346057561009769,"negligible"
"265","icefaces",0.457209513647498,-0.0233579006337313,"negligible"
"266","icemobile",0.282991236155922,0.0337304366093624,"negligible"
"267","igraph",0.977938235065628,-0.000870942894156367,"negligible"
"268","IGV",0.00103623841239042,0.103060116942684,"negligible"
"269","ikvm",2.09317999114285e-08,0.17605738594587,"small"
"270","ikvm-fork",4.70537528896093e-06,0.143806239277336,"negligible"
"271","infinispan",0.818031771816672,0.00723013900073527,"negligible"
"272","infoglue2",0.531309796586378,-0.0196684289765765,"negligible"
"273","intellij-plugins",0.258398060126668,0.0355073351773397,"negligible"
"274","iostest",0.712874608321733,0.0115629704842267,"negligible"
"275","ironmine",0.000473739597549226,-0.109804453625573,"negligible"
"276","iSENSE-Hardware",0.938923662370902,0.00240931690066875,"negligible"
"277","iSoul",0.795915641161855,-0.00812734147964007,"negligible"
"278","itext",0.418557000401719,-0.0254149014390252,"negligible"
"279","itinerennes-android",0.0395483687799787,0.0646686040404748,"negligible"
"280","ITKApps",0.717346312664455,0.0113747767935296,"negligible"
"281","ivory",0.57175012957091,0.0177667973810441,"negligible"
"282","Ivory",0.0292326312995072,0.0684981268162879,"negligible"
"283","izpack",0.847925630950381,0.00602657469976541,"negligible"
"284","izpack-full-svn-history-copy",0.772469358958226,0.00908581632295788,"negligible"
"285","jabref",0.313317328587201,0.0316778124015266,"negligible"
"286","jackrabbit-oak",0.180247772733135,0.0420984909491965,"negligible"
"287","jacorb",0.155781977537099,0.0445931515002976,"negligible"
"288","JacORB",0.883755506671647,0.00459542733097581,"negligible"
"289","jain-slee",0.334774727215671,0.0303035607996919,"negligible"
"290","jas",0.000172666272275631,0.117997444067084,"negligible"
"291","jato",0.98582828407303,0.000560204474633239,"negligible"
"292","java-gnome",0.15268007126209,0.0449301495045692,"negligible"
"293","javapackages",0.14461260608954,-0.045831728580932,"negligible"
"294","jaxb",0.967717832530501,0.00127358986029901,"negligible"
"295","jaxws",0.236814871134003,0.0371660656139491,"negligible"
"296","jboss-messaging",0.467390190824768,0.0228327089387627,"negligible"
"297","jboss-vfs",0.914518060127442,0.00337435664017367,"negligible"
"298","jbpm-designer",0.586570483321724,0.0170862364763139,"negligible"
"299","jCAE",0.00571844161311405,0.0868185637757782,"negligible"
"300","jclouds",0.979271634084752,0.000818423724659503,"negligible"
"301","jEdit",0.473902402106529,0.0225000875319492,"negligible"
"302","jena-core",0.19335912135452,0.0408642904660201,"negligible"
"303","jersey-1",0.160254441770277,-0.0441161023773677,"negligible"
"304","jetty-project",0.637974031560156,0.0147841462133679,"negligible"
"305","jetty-spdy",0.573029699647222,-0.0177077133153601,"negligible"
"306","jgralab",0.60822683076875,0.0161058786457057,"negligible"
"307","jgralab-dhht",0.299873003033349,0.0325706382829733,"negligible"
"308","jgrapht",0.74732858968325,0.010123069920521,"negligible"
"309","jmxtrans",0.438707676987168,0.0243295052694233,"negligible"
"310","jogl",0.891459108968471,-0.00428906550891075,"negligible"
"311","jOOQ",0.00902162555199715,0.0820349427541053,"negligible"
"312","jop",0.163724669985404,0.0437528447883477,"negligible"
"313","joshua",0.287512939663378,0.0334153215923812,"negligible"
"314","jpcsp",0.31178200387952,-0.0317784741430622,"negligible"
"315","jscep",0.366397007764987,0.0283778579181401,"negligible"
"316","jspwiki",3.1031704635863e-11,-0.208649907216134,"small"
"317","jython",0.940198293721326,0.00235898602990092,"negligible"
"318","jython-legacy",0.715369237960597,-0.011457932145233,"negligible"
"319","k-9",0.602391137264874,0.01636847449319,"negligible"
"320","kaffe",0.98727311383471,-0.000503308707678302,"negligible"
"321","katta",0.132339397866163,0.0472803823395539,"negligible"
"322","kde-owncloud",0.905902850022391,0.0037157312419033,"negligible"
"323","killbill",0.903805909969356,0.00379888659360667,"negligible"
"324","Kramerius",0.258398060126668,0.0355073351773397,"negligible"
"325","L2jFrozenInterlude",0.386923467129034,0.0271830468120864,"negligible"
"326","larceny-oldimport",0.573219381002788,0.017698960120444,"negligible"
"327","leiningen",0.981382966129721,-0.000735268372956127,"negligible"
"328","Lemo-Data-Management-Server",0.329496303821811,0.0306361822065054,"negligible"
"329","lenskit",0.4530046056436,-0.0235767305066349,"negligible"
"330","Liberty",0.810786702649568,-0.0075233710304261,"negligible"
"331","libguestfs",0.163135392619155,0.0438141171527608,"negligible"
"332","libidn",0.000179166858683345,-0.117706400336123,"negligible"
"333","libming",0.836918580736527,-0.00646861104303071,"negligible"
"334","libsdl",0.673749848240778,0.0132282658170232,"negligible"
"335","linphone_linux_XIA",0.00661041758207526,0.0853217674451175,"negligible"
"336","LNReader-Android",0.87298906368189,-0.00502433388186688,"negligible"
"337","log4j",0.705823229202493,0.0118605791113757,"negligible"
"338","lor-jamwiki",0.730819111569345,-0.0108101957214383,"negligible"
"339","lpzrobots",0.112387303360592,0.0498757046321908,"negligible"
"340","lsml",0.73165742517895,-0.0107751829417737,"negligible"
"341","LT-Jbilling-MsgQ-3",0.486028063261152,0.0218873638878191,"negligible"
"342","ltfat",0.785292411819096,0.00856062462798922,"negligible"
"343","luaj",0.45687231637296,0.0233754070235636,"negligible"
"344","lucene_solr",0.575687944386311,-0.0175851685865341,"negligible"
"345","luci",0.993219531566201,-0.00026916074367144,"negligible"
"346","lwjgl",0.259220634612579,0.0354460628129267,"negligible"
"347","mahout",0.890908502944849,0.00431094849620111,"negligible"
"348","mahout-commits",0.743532404823393,0.0102806274290116,"negligible"
"349","Malhar",0.987495399129574,0.000494555512762159,"negligible"
"350","maptool",0.980049477182528,-0.000787787542452995,"negligible"
"351","marc-solr-profiling",0.0342406873940637,-0.0665155281677812,"negligible"
"352","Markus",0.612620061899831,0.0159089317600924,"negligible"
"353","Marlin_ExtruderAutoFan",0.938923662518896,-0.00240931690066875,"negligible"
"354","marytts",0.000856081844277227,0.104740730366584,"negligible"
"355","maven-release",0.860385049556938,-0.00552764258954518,"negligible"
"356","mcidasv",0.0242907057776096,0.0707652042995693,"negligible"
"357","mDNSResponder",0.0803118726920656,0.0549438044886384,"negligible"
"358","MDSplus",0.0045809723132232,0.0890681348692273,"negligible"
"359","mediacloud",0.57778064250784,0.0174888834424565,"negligible"
"360","melati",0.30562460357873,0.0321854977066629,"negligible"
"361","mesos",0.512387607160782,0.0205831378453135,"negligible"
"362","META-SHARE",0.327083682555423,0.0307893631175379,"negligible"
"363","metadata",0.422494624578814,0.0252004481635797,"negligible"
"364","mifos-head",0.138500992317914,-0.0465407373691397,"negligible"
"365","MikuMikuStudio",0.419318724272795,0.0253733237631736,"negligible"
"366","MineChem",0.0475782714992597,-0.0622395924512447,"negligible"
"367","Minecraft-CommandsEX",0.0235788173446049,0.0711240852911313,"negligible"
"368","mingw-w64",0.980160599183631,-0.000783410944994922,"negligible"
"369","mktc-platform",0.967051450491637,0.00129984944504744,"negligible"
"370","mlt",0.289030948484592,0.0333102832533875,"negligible"
"371","moai-dev",0.473644399136985,0.0225132173243234,"negligible"
"372","mobicents",0.309587824136481,-0.0319229018591786,"negligible"
"373","molgenis_apps-legacy",0.0118737935059877,0.0790391617940548,"negligible"
"374","mona",0.484111556438032,0.0219836490318966,"negligible"
"375","monodroid-samples",0.930725571801612,-0.00273318511256609,"negligible"
"376","morphia",0.0627796893608425,0.0584582122474703,"negligible"
"377","MosesLabelFeats",0.813272023034847,0.00742270928889045,"negligible"
"378","motech-server-pillreminder-0",0.884195423633708,0.00457792094114351,"negligible"
"379","mozilla",0.0651380445476214,0.0579417737474178,"negligible"
"380","mpicbg",0.674207691199154,-0.0132085711284619,"negligible"
"381","mucommander",0.00129866487034739,0.101042505514513,"negligible"
"382","munin",0.600936164367714,0.0164341234550611,"negligible"
"383","mupdf",0.0455386405129748,-0.0628216799131683,"negligible"
"384","mupen64plus-ae",0.629143822421612,-0.0151736633871363,"negligible"
"385","mwlib",0.877435726757991,0.00484708168481496,"negligible"
"386","my-openssh",4.51124789774106e-05,-0.128164279962186,"negligible"
"387","my_OpenPilot_mods",0.985661575830243,0.000566769370820347,"negligible"
"388","myfaces",0.854478688765579,-0.00576397885228108,"negligible"
"389","myMed",0.464578042569746,0.022977136654879,"negligible"
"390","Nantes-1900-Maven",0.032688062642707,0.0671019922271629,"negligible"
"391","nar-maven-plugin",0.950955305345078,-0.00193445607646791,"negligible"
"392","narya",0.500088930042521,-0.0211871082945275,"negligible"
"393","nativelibs4java",0.344213374333535,0.0297170967403102,"negligible"
"394","navit-webos",0.984050096247718,0.000630230033962396,"negligible"
"395","NEFS",0.889587263600206,-0.00436346766569798,"negligible"
"396","neo4j-enterprise",0.930448732742077,-0.00274412660621127,"negligible"
"397","nessDB",0.0619574989088993,-0.0586420293407094,"negligible"
"398","netboot",0.918276614013514,-0.00322555232659921,"negligible"
"399","netcdf-mirror",0.958002232949959,0.00165654213788032,"negligible"
"400","NewsBlur",0.000816234933563655,-0.105156507125101,"negligible"
"401","nexus-core",0.556034810641584,0.0184976891565421,"negligible"
