"","name","atlas","crtools","dasher","dltk","eclipse","framework","gradecraft-development","jetty-plugin-support","jetty-spdy","lenskit","Linuxbog","mlt","oi-userland","packages_apps_Camera","playframework","riot","scalaris","thinkparity","wala-mirror","xrootd"
"1","atlas",0.794565213641543,0.680450725744843,0.79266228057489,NA,0.602989646496293,0.72491115343863,0.777679725697962,0.7,0.708815545722647,0.736489337782441,0.605074257425743,0.642247414665049,0.832632213230615,0.825702868718456,0.849797807369491,0.756204229820174,0.767037804154514,0.746357147209216,NA,0.688881159997471
"2","crtools",0.581235546643966,0.755014214862514,0.55530976554043,NA,0.539723456694912,0.436085618400927,0.549949498100024,0.59047619047619,0.52556919677274,0.620855030337789,0.64950495049505,0.633124952756671,0.632525778130684,0.704258144156226,0.441244466742418,0.507658866417458,0.677788949008267,0.473365813191603,NA,0.652055653400032
"3","dasher",0.740634534005407,0.655787337662338,0.869564888140343,NA,0.432423545705481,0.728019408816492,0.697715476167429,0.823809523809524,0.687803909445985,0.748996072271934,0.557704207920792,0.650073459627501,0.557232800031536,0.750947288567193,0.827328788575721,0.7598672918116,0.703434028357557,0.759169483797231,NA,0.695161205689122
"4","dltk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","eclipse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","framework",0.766238632513462,0.54307486631016,0.681627280368909,NA,0.477971490910961,0.830817547366819,0.717060775081077,0.895238095238095,0.668758917497587,0.63917528572701,0.622184405940594,0.624670046589422,0.708049647187354,0.817454888348174,0.820879057102691,0.726724573638858,0.59628140132231,0.685361834727001,NA,0.562153158522852
"7","gradecraft-development",0.791611837493147,0.701227081741788,0.687081846541132,NA,0.580926432925556,0.681950096130193,0.796603553483789,0.714285714285714,0.704127677881748,0.751106710158434,0.675742574257426,0.67117892953515,0.781853097036149,0.835737148986549,0.743842729578928,0.767906464840147,0.790556599651126,0.759285483291051,NA,0.723711760487485
"8","jetty-plugin-support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","jetty-spdy",0.764678975671411,0.639577444614209,0.839646228916476,NA,0.386384034010392,0.764142785288164,0.680944268416762,0.761904761904762,0.786975916484292,0.726756778480916,0.500536303630363,0.63671664560964,0.625306212093055,0.827947959093043,0.850736704473563,0.750229342050951,0.707752320793528,0.712161902485436,NA,0.710691523499044
"10","lenskit",0.781838030826794,0.712736344537815,0.757199492671878,NA,0.453844164023663,0.737489504012181,0.707227244926567,0.847619047619048,0.726373379243638,0.807905623861782,0.556899752475247,0.68265935849858,0.751296649828521,0.835733000900867,0.844869736720302,0.738594524081122,0.735667567865225,0.705632955506411,NA,0.769673713711397
"11","Linuxbog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","mlt",0.759333179490069,0.690562452253629,0.558385902448901,NA,0.659217976278844,0.594988517973391,0.670597891826508,0.80952380952381,0.540627498497611,0.638957093698473,0.76299504950495,0.734628418510047,0.660142589244987,0.807518027092368,0.580142721952637,0.509173268436495,0.713708402462723,0.575433818020396,NA,0.762761169630928
"13","oi-userland",0.586704057268798,0.566167398777693,0.51118917957119,NA,0.578909315261296,0.538665947923409,0.608916501214985,0.69047619047619,0.664264912387584,0.657133698081974,0.714057343234323,0.514506401696081,0.848623835653595,0.659212861700871,0.632480659678938,0.648322059934171,0.754953335441262,0.497613222536241,NA,0.542251726555111
"14","packages_apps_Camera",0.73046145518749,0.607214954163483,0.775824824543181,NA,0.433121250389622,0.651234472465812,0.653141634048367,0.742857142857143,0.646903762102788,0.74635645109783,0.577640264026403,0.637601670644105,0.649524420942373,0.900740029633142,0.718374036461344,0.674096053165996,0.683082454339076,0.581443194395065,NA,0.700989178505549
