"","name","wilcoxP","cdEst","cdMag"
"1","4Dnest",0.00106859798090915,0.0270491262776129,"negligible"
"2","accumulo",2.36703504174277e-65,0.318061325420376,"small"
"3","ace",3.84592759611934e-87,0.232047477744807,"small"
"4","activemq-cpp",NA,NA,NA
"5","Activiti",3.43046350633647e-81,0.270860534124629,"small"
"6","adempiere",8.1320912110648e-89,0.25599516430377,"small"
"7","adobe-flex-pmd",7.81608280322014e-63,0.0728695461039675,"negligible"
"8","aio-portal",1.92842180962397e-16,0.0738894383998242,"negligible"
"9","ajaxplorer",0.345142819788911,0.000263765248928455,"negligible"
"10","ajaxplorer-core",0.000279927525439698,0.0188020661611166,"negligible"
"11","AKeyboard",2.78780379645821e-92,0.408060226398505,"medium"
"12","akvo-flow",1.49074101648174e-52,0.164611495768766,"small"
"13","Alitheia-Core",2.3883374443638e-84,0.2870645125838,"small"
"14","ambari",4.02279104815328e-93,0.227328277832729,"small"
"15","amcat",1.97878534858039e-41,0.0733575118144851,"negligible"
"16","amuse",8.64327668129177e-87,0.253331135289592,"small"
"17","andors-trail",2.88755586044415e-78,0.152889328497637,"small"
"18","android",4.24809592888881e-45,0.0599626332564018,"negligible"
"19","android-arabic-reader",7.2891761489144e-74,0.230278052533245,"small"
"20","android_dalvik",2.47505373769221e-58,0.289110891306737,"small"
"21","android_packages_apps_Calendar",8.5425361748271e-87,0.347482140894604,"medium"
"22","android_packages_apps_Contacts",3.01493751255378e-97,0.338465765468733,"medium"
"23","android_packages_apps_DeskClock",2.2577189739859e-86,0.250027475546763,"small"
"24","android_packages_apps_Dialer",5.45514824643722e-90,0.234375206066601,"small"
"25","android_packages_apps_Phone",5.70763726238731e-70,0.283457522804704,"small"
"26","android_packages_apps_Settings",1.56495704279015e-95,0.351774920320914,"medium"
"27","android_packages_apps_Trebuchet",1.49824901245829e-84,0.283395977579954,"small"
"28","AndroidTD",3.72695103382537e-83,0.12191010001099,"negligible"
"29","anjuta",1.75191613779815e-73,0.275755577535993,"small"
"30","anki",6.25105072996891e-81,0.251739751621057,"small"
"31","ANNIS",1.57520851880194e-96,0.436309484558743,"medium"
"32","AntiCheat",1.65014403327978e-47,0.07110891306737,"negligible"
"33","apache-hosted-cassandra",4.71153845734694e-75,0.202004615891856,"small"
"34","apache-tomcat-8",5.6219519390452e-87,0.313372898120673,"small"
"35","App-Inventor-Gallery",4.31431777525967e-67,0.193693812506869,"small"
"36","application",1.28662159339722e-62,0.230796790856138,"small"
"37","archiva",1.95914928536889e-82,0.285561050664908,"small"
"38","ardupilot-mega",1.67936775453122e-99,0.325921529838444,"small"
"39","ares-project",8.12961121062436e-94,0.343622376085284,"medium"
"40","aries",1.7023046856428e-88,0.245561050664908,"small"
"41","arquillian-graphene",3.42387508191493e-98,0.37702165073085,"medium"
"42","astridclone",1.1590239636185e-41,0.221652928893285,"small"
"43","atlas",3.0516390648103e-29,0.103257500824266,"negligible"
"44","atmosphere",1.03007250492318e-81,0.289157050225299,"small"
"45","aura",2.04428308417002e-106,0.57383888339378,"large"
"46","Auto-B-Day",1.46423576597268e-51,0.08486646884273,"negligible"
"47","autopsy",8.5406580895227e-78,0.335953401472689,"medium"
"48","autotest",6.49125488628805e-81,0.178769095505001,"small"
"49","avian",3.05198658119165e-66,0.20661171557314,"small"
"50","babble",2.01532860939069e-12,0.0575403890537422,"negligible"
"51","bagit-java",1.34312789800916e-67,0.152986042422244,"small"
"52","bandwidth-on-demand",4.37470229899114e-31,0.121674909330696,"negligible"
"53","barry",1.21753149717076e-55,0.255197274425761,"small"
"54","basex-all",5.80899138235758e-80,0.150581382569513,"small"
"55","BatooJPA",2.01324335636667e-81,0.251359490053852,"small"
