"","proj","AUC","Brier","Chi","Pval"
"100","application",0.802498899266477,0.111512567914477,0.24162307486043,0
"102","archiva",0.792821614464101,0.142595712862431,0.133844650873567,0
"105","ardupilot-mega",0.847267488168441,0.0801269135584875,0.077828794285932,8.88178419700125e-16
"109","ares-project",0.846563441618485,0.0333486021297756,0.422046112093185,0
"110","aries",0.787677506724601,0.0888360887157893,0.150840662412556,8.10462807976364e-14
"112","arquillian-graphene",0.854910641890681,0.122581400988781,0.384335860677433,3.5527136788005e-15
"113","astridclone",0.766030635604164,0.174476900931609,0.336587850875854,0
"116","atlas",0.795481140305736,0.109103643512067,0.0670859848705346,3.54333229424242e-11
"117","atmosphere",0.741824803740481,0.190456282383753,0.319133448429159,0
"119","aura",0.93619226280956,0.0802310289973168,0.253608574921721,0
"120","Auto-B-Day",0.789307407271408,0.149242794546917,0.223387907198274,2.26850930440392e-06
"121","autopsy",0.847005296735857,0.124203945557469,0.392162717743204,0
"122","autotest",0.734238919439739,0.165247087005791,0.0664586616159997,0
"123","avian",0.825951732443527,0.151274877591069,0.199427587735882,0
"130","babble",0.790376092134076,0.120134888867297,0.155439982304815,0
"131","bagit-java",0.94805308908111,0.0360055485885015,0.084384933945109,3.09677938847841e-09
"133","bandwidth-on-demand",0.803113303570697,0.145329475453654,0.147239052982103,0
"134","barry",0.86868723375482,0.0589286360891547,0.364798579183553,0
"135","basex-all",0.815319872011695,0.174643051039329,0.140040547342462,0
"136","BatooJPA",0.819940131625414,0.170877868008159,0.10891751413224,1.13535987922297e-05
"137","beagle",0.779135170241101,0.158231295299499,0.253194207723701,0
"140","bigbluebutton",0.79454813194757,0.0774643113871583,0.0515634568312353,1.43274281327876e-12
"141","big-data-plugin",0.866308719540251,0.10550917744987,0.424314181093815,0
"144","biojava",0.747075614271481,0.173885697795476,0.117552573425087,0
"146","biosources-test-subtree",0.709147977016535,0.184366286707185,0.0686555767896878,3.33026163135131e-06
"147","bison",0.751586144388404,0.0982889288173901,0.207601822176675,0
