"","proj","AUC","Brier","Chi","Pval"
"50","Auto-B-Day",0.802129908054654,0.150382168544949,0.193737930368305,4.13019599365683e-06
"51","autopsy",0.825184873625411,0.133601577965124,0.0585887562158355,0
"52","autotest",0.739218028032584,0.164757832974021,0.101371039951405,0
"53","avian",0.814015146932859,0.157202712155232,0.0132262595736192,0.000904211019870704
"54","babble",0.876277294061815,0.0870428634377896,0.706031062033184,0
"55","bagit-java",0.945632987101548,0.0372983362074378,0.0157818305235619,0.0105840469729608
"56","bandwidth-on-demand",0.804273552047823,0.144183992321595,0.147084273182843,0
"57","barry",0.834834661552028,0.0664359666139729,0.0279093715386273,0.0137218316434009
"58","basex-all",0.816945204609734,0.174159897787351,0.123592726720168,0
"59","BatooJPA",0.938875312926042,0.0970780202477377,0.588134328173909,0
"60","beagle",0.752299313745332,0.164054869511295,0.0187482385520191,0.000972057391957382
"61","big-data-plugin",0.834818766727366,0.119023492015552,0.0428066545602707,0.00273333716856039
"62","bigbluebutton",0.856701067129037,0.0659493886210626,0.56896579600029,0
"63","biojava",0.821772396374632,0.145846752958991,0.622854000139844,0
"64","biosources-test-subtree",0.76362387015309,0.171693149918777,0.489389089270796,0
"65","bison",0.733778139467452,0.100545835366328,0.0103017540214194,0.0678110717610578
"66","bitrig-xenocara",0.782814664912621,0.0926254512156719,0.00198452147418919,0.335913759199338
"67","blacktie",0.802252052045205,0.100922427624084,0.38187665165911,0
"68","bloatit",0.851581060021652,0.144251992452789,0.015168432083408,0.000248536760802054
"69","blojsom-sourceforge",0.91103113139149,0.035745086201811,0.142836097491719,5.33116806922251e-07
"70","blueprints-seas",0.770176799630485,0.178142064575905,0.0654968576425138,0.00658105814812571
"71","boost",0.706112418096882,0.05119616154682,0.0115530491776325,0.184897341409326
"72","bsc-project",0.788383949283313,0.171892061952753,0.0397908881498359,3.21906945544015e-11
"73","bw-classic",0.741290364755141,0.110939553059796,0.0881318424354893,6.76952851774715e-07
"74","caadapter",0.800155876621685,0.0703404111705917,0.410784203977935,0
