"","name","wilcoxP","cdEst","cdMag"
"113","Colloquy",4.30859036938016e-05,0.12692526846373,"negligible"
"114","com",0.992201871938386,-0.00178829717291256,"negligible"
"115","commons-lang",0.0742468590981173,-0.0575191759807144,"negligible"
"116","commons-math-optimizers",3.83473751486314e-52,0.475557747096209,"large"
"117","commons-vfs",0.239017238840114,-0.0384440061363138,"negligible"
"118","commonsense-frontend",0.000928583103930581,0.102480824019286,"negligible"
"119","console",0.182078105584112,0.0404120096427789,"negligible"
"120","Contiki-IDS",0.000116586207705036,-0.12244137628753,"negligible"
"121","continuum",0.000920736834327039,0.102546570238878,"negligible"
"122","core",0.772672093953048,-0.0105500767039229,"negligible"
"123","core-geonetwork",0.987300525498272,-0.000975235590620202,"negligible"
"124","corsix-th",0.000701973790829111,-0.107863247863248,"negligible"
"125","cosmo",0.136317506138212,-0.0482423843962306,"negligible"
"126","coweb",0.964696584837926,-8.7661626123163e-05,"negligible"
"127","cpu-bitminer",1.30201879169675e-32,0.371840894148586,"medium"
"128","crtmpserver",2.69662729791488e-116,0.718148148148148,"large"
"129","crtmpserver-os_x",0.000139566735804904,0.118093359631821,"negligible"
"130","crtools",0.906303157569347,-0.00517422748191979,"negligible"
"131","cruisecontrol",0.706704360369112,0.0103374972605742,"negligible"
"132","crux-framework",0.139317906968293,0.0449441157133465,"negligible"
"133","CS143-Project",0.813568896908646,0.005928117466579,"negligible"
"134","csft5",0.653309404167799,-0.0155818540433925,"negligible"
"135","csipsimple",0.920256837158228,0.00166995397764629,"negligible"
"136","csolve",0.253867857497974,0.0343414420337497,"negligible"
"137","ctags",0.192633200967369,-0.0423800131492439,"negligible"
"138","CVC4",0.218351801667242,0.0371663379355687,"negligible"
"139","cyberdojo",0.889839958247666,0.00287091825553364,"negligible"
"140","cytoscape-impl",0.896685063195066,-0.00555555555555555,"negligible"
"141","cytoscape2",8.38198526367049e-25,0.321336839798378,"small"
"142","dANN",0.000166580174041326,0.116714880561034,"negligible"
"143","dasher",0.620426976394087,0.014071882533421,"negligible"
"144","databus",2.36258268618463e-10,0.19741617357002,"small"
