"","names","rq1df","rq2df"
"1","2011-m1s2-ter",8.88412055005592,8.32161848491913
"2","4Dnest",12.7497302550421,11.9424753829374
"3","abs",1.96671370955436,1.84219035162332
"4","acceleo",0,0
"5","accesointeligente",3.32306799200565,3.11266645619113
"6","accumulo",113.18776487056,106.021230926183
"7","ace",74.2603969642078,69.5585667250874
"8","activemq",0,0
"9","activemq-cpp",61.3072135667981,57.4255199264648
"10","activiti",0,0
"11","Activiti",79.7536318081356,74.703994948587
"12","adempiere",96.1655186257961,90.0767558138575
"13","adito_reload",1.76326056718667,1.65161893593815
"14","adobe-flex-pmd",15.4624388199446,14.483427592073
"15","adventure",0.0678177141225642,0.0635238052283903
"16","agora",6.51050055576617,6.09828530192547
"17","aio-portal",40.8940816159062,38.3048545527194
"18","ajaxplorer",14.8520793928416,13.9117133450175
"19","ajaxplorer-core",16.8866108165185,15.8174275018692
"20","AKeyboard",109.864696878554,102.908564469992
"21","akvo-flow",103.625467179278,97.0643743889804
"22","Alitheia-Core",64.901552415294,60.7922816035695
"23","alkacon-oamp",0,0
"24","alvis",1.15290114008359,1.07990468888264
"25","ambari",187.109073264155,175.262178625129
"26","amcat",66.7326306966032,62.5074243447361
"27","AMPS",7.3921308393595,6.92409476989454
"28","amu_automata_2011",9.49447997715899,8.89333273197464
"29","amuse",113.18776487056,106.021230926183
"30","andors-trail",11.5290114008359,10.7990468888264
"31","android",26.4489085078001,24.7742840390722
"32","android_bionic",0.0678177141225642,0.0635238052283903
"33","android_browser",0,0
"34","android_build",10.8508342596103,10.1638088365425
"35","android_dalvik",73.6500375371048,68.9868524780319
"36","android_development",0,0
"37","android_device_samsung_crespo",4.40815141796668,4.12904733984537
"38","android_device_samsung_tuna",1.22071885420616,1.14342849411103
"39","android_device_samsung_wave",3.93342741910873,3.68438070324664
"40","android_external_apache-xml",0,0
"41","android_external_bouncycastle",0.135635428245128,0.127047610456781
"42","android_external_javasqlite",0.406906284735385,0.381142831370342
"43","android_external_skia-1",8.07030798058515,7.55933282217845
"44","android_frameworks_opt_telephony",0.135635428245128,0.127047610456781
"45","android_hardware_qcom_media-v4l2",0.406906284735385,0.381142831370342
"46","android_kernel_acer_c10",0.271270856490257,0.254095220913561
"47","android_libcore",0.271270856490257,0.254095220913561
"48","android_libcore_s4",0.0678177141225642,0.0635238052283903
"49","android_packages_apps_ADWLauncher",3.25525027788308,3.04914265096274
"50","android_packages_apps_Browser",0.813812569470771,0.762285662740684
"51","android_packages_apps_Calendar",60.696854139695,56.8538056794093
"52","android_packages_apps_Camera",0.339088570612821,0.317619026141952
"53","android_packages_apps_ChaOSLauncher",0.678177141225642,0.635238052283903
"54","android_packages_apps_CMFileManager",4.34033370384411,4.06552353461698
"55","android_packages_apps_Contacts",149.402424212009,139.942942918144
"56","android_packages_apps_COSUpdater",8.81630283593335,8.25809467969074
"57","android_packages_apps_DeskClock",50.8632855919232,47.6428539212927
"58","android_packages_apps_Dialer",12.2750062561841,11.4978087463386
"59","android_packages_apps_Email",0.0678177141225642,0.0635238052283903
"60","android_packages_apps_Exchange",0,0
"61","android_packages_apps_FactoryLauncher",0,0
"62","android_packages_apps_Gallery2",0,0
"63","android_packages_apps_killrhome",0,0
"64","android_packages_apps_Launcher2",0.813812569470771,0.762285662740684
"65","android_packages_apps_LegacyCamera",0.0678177141225642,0.0635238052283903
"66","android_packages_apps_Mms",5.62887027217283,5.2724758339564
"67","android_packages_apps_PackageInstaller",0.135635428245128,0.127047610456781
"68","android_packages_apps_Phone",39.063003334597,36.5897118115528
"69","android_packages_apps_Phone_msm",0,0
"70","android_packages_apps_settings",0,0
"71","android_packages_apps_Settings",62.9348387057396,58.9500912519462
"72","android_packages_apps_Trebuchet",98.4713209059633,92.2365651916227
"73","android_packages_inputmethods_LatinIME",0,0
"74","android_packages_providers_MediaProvider",0,0
"75","android_platform_packages_apps_Phone",0,0
"76","android_platform_system_core",0,0
"77","android_system_core",70.6660581157119,66.1918050479827
"78","android-arabic-reader",101.523118041479,95.0951364269003
"79","android-build",0,0
"80","android-development",0,0
"81","android-music-backport",0,0
"82","android-packages-apps-Trebuchet",0,0
"83","android-sdk",0,0
"84","Android-Terminal-Emulator",8.40939655119797,7.8769518483204
"85","Android-Universal-Image-Loader",8.5450319794431,8.00399945877718
"86","AndroidTD",16.8866108165185,15.8174275018692
"87","anjuta",101.048394042621,94.6504697903016
"88","anjuta-clang",1.76326056718667,1.65161893593815
"89","anki",70.4626049733443,66.0012336322975
"90","ANNIS",94.9447997715899,88.9333273197464
"91","AntiCheat",21.9051216615883,20.5181890887701
"92","aokp_dalvik",0,0
"93","AP2DX",8.61284969356566,8.06752326400557
"94","apache-hosted-cassandra",105.049639175852,98.3983742987766
"95","apache-tomcat-8",130.074375687078,121.838658428053
"96","apc_b2g_build",14.0382668233708,13.1494276822768
"97","apollo-test",1.62762513894154,1.52457132548137
"98","App-Inventor-Gallery",11.5290114008359,10.7990468888264
"99","appfuse",11.8002822573262,11.0531421097399
"100","application",34.9261227731206,32.714759692621
"101","apps_camera",0,0
"102","archiva",119.494812283958,111.928944812424
"103","archive-commons",0,0
"104","ardupilot",0,0
"105","ardupilot-mega",50.4563793071878,47.2617110899224
"106","ardupilotone",0.339088570612821,0.317619026141952
"107","ArduPlane",0,0
"108","arduplane-custom-tamu",0,0
"109","ares-project",14.0382668233708,13.1494276822768
"110","aries",34.6548519166303,32.4606644717075
"111","arquillian-core",5.83232341454053,5.46304724964157
"112","arquillian-graphene",13.0888188256549,12.2600944090793
"113","astridclone",109.864696878554,102.908564469992
"114","ATHENA",5.83232341454053,5.46304724964157
"115","atl",0,0
"116","atlas",57.1703330053217,53.550567807533
"117","atmosphere",102.133477468582,95.6668506739558
"118","audiere",8.5450319794431,8.00399945877718
"119","aura",241.702333132819,226.398841833983
"120","Auto-B-Day",11.7324645432036,10.9896183045115
"121","autopsy",156.794555051369,146.867037688038
"122","autotest",228.681332021287,214.202271230132
"123","avian",96.3011540540412,90.2038034243142
"124","awbi",0,0
"125","awe-rdt",0,0
"126","awe-splash",0,0
"127","awe-udig",0,0
"128","B17",10.5117456889975,9.8461898104005
"129","b2g-n7-system-core",0,0
"130","babble",91.825184921952,86.0112322792405
"131","bagit-java",16.0049805329252,14.9916180339001
"132","banana-rdf",0.0678177141225642,0.0635238052283903
"133","bandwidth-on-demand",84.0939655119797,78.769518483204
"134","barry",17.5647879577441,16.4526655541531
"135","basex-all",169.00174359343,158.301322629149
"136","BatooJPA",21.8373039474657,20.4546652835417
"137","beagle",83.415788370754,78.1342804309201
"138","betamax",6.10359427103078,5.71714247055513
"139","BIDMat",8.07030798058515,7.55933282217845
"140","big-data-plugin",16.8866108165185,15.8174275018692
"141","bigbluebutton",75.0063918195561,70.2573285825997
"142","bigtop",1.15290114008359,1.07990468888264
"143","bioclipse",0,0
"144","biojava",126.615672266827,118.598944361405
"145","bionic",0.47472399885795,0.444666636598732
"146","biosources-test-subtree",67.2751724095837,63.0156147865632
"147","bison",41.2331701865191,38.6224735788613
"148","bison-php",0.881630283593335,0.825809467969074
"149","bitrig-xenocara",43.1320661819509,40.4011401252562
"150","black-ninja",0,0
"151","blacktie",31.7386902093601,29.7291408468867
"152","bloatit",90.4688306395007,84.7407561746727
"153","blojsom-sourceforge",10.9864696878554,10.2908564469992
"154","blueprints-seas",15.1233502493318,14.165808565931
"155","bobo",9.35884454891386,8.76628512151786
"156","bonita-studio",0.0678177141225642,0.0635238052283903
"157","boost",15.3946211058221,14.4199037868446
"158","bpa-i",8.00249026646258,7.49580901695006
"159","bpipe",3.7977919908636,3.55733309278986
"160","breakfast",3.45870342025078,3.23971406664791
"161","brooklyn",0,0
"162","Browser_7025",0,0
"163","bsc-project",158.557815618555,148.518656623977
"164","build",0.610359427103078,0.571714247055513
"165","bvs",0.881630283593335,0.825809467969074
"166","bw-classic",31.2639662105021,29.2844742102879
"167","caadapter",19.4636839531759,18.231332100548
"168","caarray-docs",0,0
"169","cacique",15.0555325352093,14.1022847607027
"170","cadmium",12.3428239703067,11.561332551567
"171","cadpage",188.668880688974,176.723226145382
"172","caf-platform-system-core",0,0
"173","caffeine-hx",3.45870342025078,3.23971406664791
"174","caleydo",24.5500125123683,22.9956174926773
"175","Camera_7025",0,0
"176","camlistore",32.0777787799729,30.0467598730286
"177","camod",44.5562381785247,41.7351400350524
"178","camunda-bpm-platform",127.497302550421,119.424753829374
"179","candlepin",157.744003049084,147.756370961236
"180","capdemat",40.622810759416,38.0507593318058
"181","Capturador",1.42417199657385,1.3339999097962
"182","carat",29.5007056433154,27.6328552743498
"183","carrot2",30.8570599257667,28.9033313789176
"184","cartoweb3",30.7892422116442,28.8398075736892
"185","caTissue",39.8768159040678,37.3519974742935
"186","catissue-core",46.1838633174662,43.2597113605338
"187","catissue-dynamic-extensions",61.9175729939012,57.9972341735204
"188","cayenne",0,0
"189","Cb",4.95069313094719,4.63723778167249
"190","cda",19.5315016672985,18.2948559057764
"191","cdt-core",269.846684493683,252.761221003765
"192","cedet",72.836224967634,68.2245668152912
"193","cegis",12.6140948267969,11.8154277724806
"194","CERMINE",8.3415788370754,7.81342804309201
"195","cesium2",134.007803106187,125.523039131299
"196","ceylon",87.145762647495,81.6280897184816
"197","cgeo",172.324811585436,161.41398908534
"198","ChatHammer-9000",23.4649290864072,21.979236609023
"199","check_mk",54.7288952969093,51.263710819311
"200","checkstyle-plugin",7.45994855348207,6.98761857512293
"201","chico",24.1431062276329,22.614474661307
"202","chipster",70.5982404015894,66.1282812427543
"203","chisimba",142.145928800895,133.145895758706
"204","chukwa",15.1233502493318,14.165808565931
"205","Chunky",13.699178252758,12.8318086561348
"206","ci-eye",3.93342741910873,3.68438070324664
"207","cinder_base",24.278741655878,22.7415222717637
"208","citations",3.66215656261847,3.43028548233308
"209","Citizens",35.4008467719785,33.1594263292197
"210","ClassyGames",18.51423595546,17.3419988273506
"211","clever",67.3429901237063,63.0791385917916
"212","clocc",38.7239147639842,36.2720927854109
"213","closure-compiler",0,0
"214","cloud-odata-java",50.117290736575,46.9440920637804
"215","Cloudify-iTests",82.3985226589156,77.1814233524942
"216","cloudify-widget",21.633850805098,20.2640938678565
